nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Tarapacá;1;Alto Hospicio;1107;H;CONTIGO CHILE MEJOR;PATRICIO ELIAS;FERREIRA;20946;masculino
Tarapacá;1;Camiña;1402;ZZI;INDEPENDIENTES;EVELYN;MAMANI;997;femenino
Tarapacá;1;Colchane;1403;ZZI;INDEPENDIENTES;TEOFILO PEDRO;MAMANI;746;masculino
Tarapacá;1;Huara;1404;Z;CHILE VAMOS;JOSE;BARTOLO;1934;masculino
Tarapacá;1;Iquique;1101;H;CONTIGO CHILE MEJOR;MAURICIO ALEJANDRO;SORIA;45113;masculino
Tarapacá;1;Pica;1405;Z;CHILE VAMOS;IVAN;INFANTE;2736;masculino
Tarapacá;1;Pozo Almonte;1401;H;CONTIGO CHILE MEJOR;RICHARD;GODOY;5622;masculino
Antofagasta;2;Antofagasta;2101;Z;CHILE VAMOS;SACHA;RAZMILIC;56653;masculino
Antofagasta;2;Calama;2201;H;CONTIGO CHILE MEJOR;ELIECER DANIEL;CHAMORRO;51440;masculino
Antofagasta;2;María Elena;2302;ZZI;INDEPENDIENTES;VIVIANA;CUELLO;1704;femenino
Antofagasta;2;Mejillones;2102;H;CONTIGO CHILE MEJOR;MARCELINO SEGUNDO;CARVAJAL;5557;masculino
Antofagasta;2;Ollagüe;2202;ZZI;INDEPENDIENTES;JHEAN CAMILO;RAMIREZ;394;masculino
Antofagasta;2;San Pedro de Atacama;2203;H;CONTIGO CHILE MEJOR;JUSTO ALEXIS;ZULETA;3004;masculino
Antofagasta;2;Sierra Gorda;2103;ZZI;INDEPENDIENTES;ADRIANA NATALI;RIVERA;472;femenino
Antofagasta;2;Taltal;2104;ZZI;INDEPENDIENTES;MARIO;ACUÑA;4153;masculino
Antofagasta;2;Tocopilla;2301;ZZI;INDEPENDIENTES;LJUBICA ELENA;KURTOVIC;6305;femenino
Atacama;3;Alto del Carmen;3302;H;CONTIGO CHILE MEJOR;CRISTIAN DIDY;OLIVARES;2077;masculino
Atacama;3;Caldera;3102;H;CONTIGO CHILE MEJOR;BRUNILDA CLEMENTINA;GONZALEZ;5823;femenino
Atacama;3;Chañaral;3201;Z;CHILE VAMOS;ALEX;AHUMADA;2978;masculino
Atacama;3;Copiapó;3101;ZZI;INDEPENDIENTES;MAGLIO HONORIO;CICARDINI;38502;masculino
Atacama;3;Diego de Almagro;3202;Z;CHILE VAMOS;MARIO;ARAYA;4450;masculino
Atacama;3;Freirina;3303;ZZI;INDEPENDIENTES;FERNANDO ALBERTO;RUHL;1823;masculino
Atacama;3;Huasco;3304;H;CONTIGO CHILE MEJOR;GENARO;BRICEÑO;2068;masculino
Atacama;3;Tierra Amarilla;3103;ZZI;INDEPENDIENTES;CRISTOBAL;ZUÑIGA;4718;masculino
Atacama;3;Vallenar;3301;ZZI;INDEPENDIENTES;VICTOR MANUEL;ISLA;10168;masculino
Coquimbo;4;Andacollo;4103;H;CONTIGO CHILE MEJOR;JUAN CARLOS;ALFARO;3293;masculino
Coquimbo;4;Canela;4202;ZZI;INDEPENDIENTES;WALDO ENRIQUE;CONTRERAS;3487;masculino
Coquimbo;4;Combarbalá;4302;ZZI;INDEPENDIENTES;MARTA ANGELICA;CARVAJAL;3158;femenino
Coquimbo;4;Coquimbo;4102;H;CONTIGO CHILE MEJOR;ALI;MANOUCHEHRI MOGHADAM KASHAN;90686;masculino
Coquimbo;4;Illapel;4201;H;CONTIGO CHILE MEJOR;DENIS;CORTES;13183;masculino
Coquimbo;4;La Higuera;4104;H;CONTIGO CHILE MEJOR;UBERLINDA;AQUEA;2041;femenino
Coquimbo;4;La Serena;4101;Z;CHILE VAMOS;DANIELA;NORAMBUENA;29393;femenino
Coquimbo;4;Los Vilos;4203;H;CONTIGO CHILE MEJOR;CHRISTIAN FRANK;GROSS;5034;masculino
Coquimbo;4;Monte Patria;4303;H;CONTIGO CHILE MEJOR;CRISTIAN;HERRERA;11305;masculino
Coquimbo;4;Ovalle;4301;ZZI;INDEPENDIENTES;HECTOR;VEGA;33685;masculino
