nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Tarapacá;1;Alto Hospicio;1107;A;POR CHILE, SEGUIMOS;LILIBETH;CHOQUE;1268;femenino
Tarapacá;1;Alto Hospicio;1107;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;JOSHUA;FERNANDEZ;1188;masculino
Tarapacá;1;Alto Hospicio;1107;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JOSE LUIS;ASTORGA;2048;masculino
Tarapacá;1;Alto Hospicio;1107;U;CHILE MUCHO MEJOR;ALEJANDRA;BECERRA;2398;femenino
Tarapacá;1;Alto Hospicio;1107;U;CHILE MUCHO MEJOR;TOMAS ADOLFO;SOTO;1942;masculino
Tarapacá;1;Alto Hospicio;1107;Y;REPUBLICANOS E INDEPENDIENTES;GABRIEL ESTEBAN;ORELLANA;2513;masculino
Tarapacá;1;Camiña;1402;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;CRISTIAN;MENDOZA;250;masculino
Tarapacá;1;Camiña;1402;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;MORELIA SOFIA;MAMANI;133;femenino
Tarapacá;1;Camiña;1402;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;PABLO ISRAEL;CASTRO;131;masculino
Tarapacá;1;Camiña;1402;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;MANUEL PAUL;LINARES;100;masculino
Tarapacá;1;Camiña;1402;T;TU COMUNA RADICAL;YENNY YELISA;COLQUE;262;femenino
Tarapacá;1;Camiña;1402;T;TU COMUNA RADICAL;RAUL PABLO;QUISPE;85;masculino
Tarapacá;1;Colchane;1403;G;VERDES LIBERALES POR UNA COMUNA SEGURA;MARIBEL ANGELICA;MAMANI;166;femenino
Tarapacá;1;Colchane;1403;G;VERDES LIBERALES POR UNA COMUNA SEGURA;JENNY JESSICA;CHOQUE;90;femenino
Tarapacá;1;Colchane;1403;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;FELINO ALFREDO;GARCIA;206;masculino
Tarapacá;1;Colchane;1403;R;CENTRO DEMOCRATICO;PAMELA;CASTRO;163;femenino
Tarapacá;1;Colchane;1403;R;CENTRO DEMOCRATICO;JOEL;GOMEZ;265;masculino
Tarapacá;1;Colchane;1403;R;CENTRO DEMOCRATICO;JAVIER CESAR;MAMANI;146;masculino
Tarapacá;1;Huara;1404;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;RAUL;URIBE;196;masculino
Tarapacá;1;Huara;1404;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;LORENA REGINA;BALTAZAR;240;femenino
Tarapacá;1;Huara;1404;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;NARCISO;RELOS;190;masculino
Tarapacá;1;Huara;1404;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JOAQUIN;FLORES;331;masculino
Tarapacá;1;Huara;1404;Y;REPUBLICANOS E INDEPENDIENTES;MARIBEL CECILIA;MAMANI;311;femenino
Tarapacá;1;Huara;1404;Y;REPUBLICANOS E INDEPENDIENTES;EDMUNDO AGUSTIN;CACERES;237;masculino
Tarapacá;1;Iquique;1101;A;POR CHILE, SEGUIMOS;SEBASTIAN;VERGARA;2358;masculino
Tarapacá;1;Iquique;1101;A;POR CHILE, SEGUIMOS;RODRIGO PATRICIO;OLIVA;2074;masculino
Tarapacá;1;Iquique;1101;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;MARTIN;LONZA;3312;masculino
Tarapacá;1;Iquique;1101;G;VERDES LIBERALES POR UNA COMUNA SEGURA;WASHINGTON;SANTOS;5398;masculino
Tarapacá;1;Iquique;1101;G;VERDES LIBERALES POR UNA COMUNA SEGURA;ROXANA PATRICIA;VIGUERAS;1953;femenino
Tarapacá;1;Iquique;1101;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;NESTOR GABRIEL;JOFRE;2820;masculino
Tarapacá;1;Iquique;1101;P;PARTIDO DE LA GENTE E INDEPENDIENTES;CAROLINA DEL CARMEN;VALDES;1328;femenino
Tarapacá;1;Iquique;1101;U;CHILE MUCHO MEJOR;WASHINGTON DAVID;MALDONADO;2363;masculino
Tarapacá;1;Iquique;1101;Y;REPUBLICANOS E INDEPENDIENTES;CRISTIAN ANTONIO;BARRA;5450;masculino
Tarapacá;1;Iquique;1101;Y;REPUBLICANOS E INDEPENDIENTES;DOMINGO LEONARDO;CAMPODONICO;5488;masculino
Tarapacá;1;Pica;1405;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;PATRICIO;VARGAS;390;masculino
