nombre_region;codigo_region;lista;pacto;partido;nombres;primer_apellido;votos;genero
Arica y Parinacota;15;B;IZQUIERDA ECOLOGISTA POPULAR;Partido Humanista;CARLOS JORGE;OJEDA;1302;masculino
Arica y Parinacota;15;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;MARIA JOSE;VICTORIANO;1575;femenino
Arica y Parinacota;15;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independientes;CRISTIAN GODOFREDO;VILLANUEVA;2116;masculino
Arica y Parinacota;15;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;LORENA;VENTURA;458;femenino
Arica y Parinacota;15;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;SOFIA;CLAVIJO;2047;femenino
Arica y Parinacota;15;M;REGIONES VERDES LIBERALES;Partido Liberal de Chile;OSCAR;PANTOJA;1880;masculino
Arica y Parinacota;15;N;LO MEJOR PARA CHILE;Independientes;DENISSE ANDREA;MORALES;2294;femenino
Arica y Parinacota;15;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;MARCELO EMMANUEL;GONZALEZ;1931;masculino
Arica y Parinacota;15;R;CENTRO DEMOCRATICO;Independientes;DANIEL ALEXIS;LINARES;418;masculino
Arica y Parinacota;15;R;CENTRO DEMOCRATICO;Partido Democratas Chile;NINO SEGUNDO;ESTAY;964;masculino
Arica y Parinacota;15;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;HERMES;GOMEZ;408;masculino
Arica y Parinacota;15;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;IGNACIO ALFREDO;GOMEZ;4242;masculino
Arica y Parinacota;15;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;LIN-KIU ODILA;LY;2594;masculino
Arica y Parinacota;15;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ROMINA CECILIA;CIFUENTES;4472;femenino
Tarapacá;1;C;TODAS Y TODOS POR CHILE;Partido Acción Humanista;OCTAVIO;LOPEZ;2160;masculino
Tarapacá;1;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;EDUARDO;MAMANI;2090;masculino
Tarapacá;1;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;GIOVANNA;TRINCADO;4707;femenino
Tarapacá;1;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;NESTOR;JOFRE;3984;masculino
Tarapacá;1;L;TU REGION RADICAL;Partido Radical de Chile;SERGIO;ASSERELLA;1514;masculino
Tarapacá;1;N;LO MEJOR PARA CHILE;Independientes;LAUTARO ENRIQUE;LOBOS;1969;masculino
Tarapacá;1;P;PARTIDO DE LA GENTE E INDEPENDIENTES;Partido de la Gente;LUIS DOMINGO;MILLA;3876;masculino
Tarapacá;1;Q;POR UN CHILE MEJOR;Independientes;HUGO NICOLAS;ESTICA;2791;masculino
Tarapacá;1;Q;POR UN CHILE MEJOR;Independientes;LUCERO ISABEL;CALLPA;1782;femenino
Tarapacá;1;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ANALLY PATRICIA;FERREIRA;3096;femenino
Tarapacá;1;R;CENTRO DEMOCRATICO;Independientes;FRANCISCO;LINCHEO;1502;masculino
Tarapacá;1;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;MAURICIO;SCHMIDT;1407;masculino
Tarapacá;1;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;JORGE MARIANO;MUÑOZ;3601;masculino
Tarapacá;1;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;LORENA ANDREA;RAMIREZ;6284;femenino
Antofagasta;2;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;VICTOR EDUARDO;GUZMAN;9295;masculino
Antofagasta;2;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Partido Social Cristiano;DUZANKA;FLORES;3155;femenino
Antofagasta;2;M;REGIONES VERDES LIBERALES;Federacion Regionalista Verde Social;DINKA SOLANGE;LOPEZ;5717;femenino
Antofagasta;2;M;REGIONES VERDES LIBERALES;Independientes;HUMBERTO PABLO;FUENTES;2084;masculino
Antofagasta;2;N;LO MEJOR PARA CHILE;Independientes;GUSTAVO HECTOR;CARRASCO;1586;masculino
Antofagasta;2;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;ANDREA;MERINO;6460;femenino
Antofagasta;2;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;LUIS;PAYERO;2465;masculino
Antofagasta;2;P;PARTIDO DE LA GENTE E INDEPENDIENTES;Partido de la Gente;JORGE EDUARDO;BERNA;2802;masculino
Antofagasta;2;P;PARTIDO DE LA GENTE E INDEPENDIENTES;Partido de la Gente;PAULA;CELIS;6827;femenino
Antofagasta;2;Q;POR UN CHILE MEJOR;Independientes;PATRICIO;TAPIA;2416;masculino
Antofagasta;2;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;SANDRA;BERNA;8208;femenino
Antofagasta;2;S;FRENTE AMPLIO;Frente Amplio;PAULA VALERIA;ORELLANA;3882;femenino
